"Asset ID","Asset No.",Date,Time(EDT),Speed(MPH),Heading,"Log Reason","Distance Traveled(Miles)",Lat,Lon,Zone,"Fuel Counter(Gallon)",Acceleration(Miles/Hour/Sec),"Status Mask",Address
87,022027,2015-07-24,08:18:51,8.5,East,"Motion Start",1.2,42.0710049,-71.0307637,Massachusetts,"17,218.21",44.74,42015,"260 Forest Ave, Brockton, MA 02301"
48,022062,2015-07-24,08:18:54,19.2,"North West",Standard,0.4,42.069125,-71.0455584,"Brockton High","17,307.50",4.47,40991,"Angus Beaton Dr, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:18:56,14,"South West",Standard,1.6,42.4125163,-71.0505024,Massachusetts,0.00,-4.47,8223,"636 Broadway, Everett, MA 02149"
93,022041,2015-07-24,08:18:57,24.7,"North East",Standard,0.5,42.0702865,-71.0458971,"BROCKTON HIGH SCHOOL","17,056.27",15.66,40991,"696 Belmont St, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:19:02,0,"South South West","Motion Stop",1.7,42.4123849,-71.0506215,Massachusetts,0.00,-20.13,9247,"632 Broadway, Everett, MA 02149"
47,022081,2015-07-24,08:19:03,21.7,"North East East",Standard,0.5,42.0706232,-71.0450276,"BROCKTON HIGH SCHOOL","19,167.80",15.66,40991,"584 West St, Brockton, MA 02301"
47,022081,2015-07-24,08:19:09,0,"North East East","Motion Stop",0.5,42.0707494,-71.0445673,"BROCKTON HIGH SCHOOL","19,167.80",-44.74,42015,"566 West St, Brockton, MA 02301"
87,022027,2015-07-24,08:19:10,30.2,"North East East",Standard,1.4,42.0714755,-71.0281024,Massachusetts,"17,218.21",-2.24,40991,"198 Forest Ave, Brockton, MA 02301"
48,022062,2015-07-24,08:19:11,0,"North West","Motion Stop",0.4,42.0698884,-71.0463782,"BROCKTON HIGH SCHOOL","17,307.50",-24.61,42015,"Angus Beaton Dr, Brockton, MA 02301"
93,022041,2015-07-24,08:19:11,0,"North East East","Motion Stop",0.5,42.0707023,-71.0447338,"BROCKTON HIGH SCHOOL","17,056.27",-29.08,42015,"572 West St, Brockton, MA 02301"
47,022081,2015-07-24,08:19:15,6,"North East East","Motion Start",0.5,42.0707598,-71.0445441,"BROCKTON HIGH SCHOOL","19,167.80",24.61,42015,"564 West St, Brockton, MA 02301"
93,022041,2015-07-24,08:19:16,4.7,"North East East","Motion Start",0.5,42.0707066,-71.0447213,"BROCKTON HIGH SCHOOL","17,056.27",22.37,42015,"572 West St, Brockton, MA 02301"
101,022051,2015-07-24,08:19:23,23,"North East East",Standard,1.8,42.0684642,-71.0247873,Massachusetts,"17,025.62",-15.66,40991,"96 Menlo St, Brockton, MA 02301"
321,"MB033 - 051073",2015-07-24,08:19:25,8.2,"South West","Motion Start",1.7,42.4123496,-71.0506554,Massachusetts,0.00,53.69,9247,"630 Broadway, Everett, MA 02149"
